channel_name,Uber Loyals,Frequent High Spenders,Frequent Low/Mid Spenders,Infrequent High Spenders,Infrequent Mid Spenders,Infrequent Low Spenders,New,Reactivated
NULL,1.5,2,3,1.6,2.4,1.2,1.4,1
Affiliate,3.2,2.2,3.1,2.6,2.2,2.6,2.6,2.6
Social Media,3.7,2.8,3.5,3.1,2.7,3.3,3.2,3
Paid Search,2.6,2.5,2.4,2.3,2.3,2.2,2.1,2.1
Partner Integration,6.5,4.3,6.2,3.2,2.8,3.6,5.5,4.1
Non-IM Mktg Initiatives,,1,1.3,1.1,1.2,1.3,1.6,1.5
Display,2.4,2.3,2.8,1.9,2.1,1.9,4,2.3
Partner Integration - Organic,2.8,4,3.7,2,2.3,1.9,2,2.8
marketing_emails,2.8,2.4,2.4,2.3,2.1,2.2,2.3,2.2
Natural Search,2.9,2.5,2.5,2.2,2.1,2,2,2
site_emails,5.6,4.2,4.5,2.7,2.6,2.6,2.6,2.5
Unassigned,2,2.2,2.6,2.3,3.5,2.3,3,2.9
Paid Search . Brand,1,1.8,1.3,1.3,1.5,1.3,1.5,1.4
Paid Social,2.1,1.9,2.2,1.8,1.9,1.9,1.9,1.9
Exclusion,,1.3,1.5,2.2,1.4,1.2,2,1
epn,17.6,12.1,9.6,6.5,5.2,6.3,8.8,16.4
Others,,,,,,,2.3,
