Channel_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,30,61
Partner Integration - Organic,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%
Affiliate,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
Display,0.7%,0.9%,1.1%,1.3%,1.6%,1.8%,2.0%,2.2%,2.5%,3.0%,3.6%,4.1%,4.3%,4.5%,4.6%,6.6%,9.4%
Unassigned,1.1%,1.8%,1.9%,2.1%,2.2%,2.3%,2.3%,2.3%,2.4%,2.5%,2.5%,2.5%,2.5%,2.6%,2.6%,2.8%,3.5%
epn,1.1%,2.1%,8.2%,11.6%,14.1%,16.2%,18.3%,19.8%,21.1%,22.2%,23.2%,24.2%,25.1%,26.1%,26.8%,36.5%,48.1%
Paid Social,1.4%,2.1%,2.6%,2.9%,3.3%,3.6%,3.9%,4.2%,4.4%,4.7%,4.9%,5.1%,5.4%,5.6%,5.8%,8.9%,14.3%
Social Media,2.2%,2.6%,2.9%,3.2%,3.4%,3.7%,3.9%,4.1%,4.3%,4.5%,4.6%,4.8%,5.0%,5.1%,5.3%,7.5%,10.7%
marketing_emails,5.9%,8.3%,9.7%,10.8%,11.9%,12.7%,13.8%,14.5%,15.1%,15.6%,16.1%,16.7%,17.1%,17.6%,18.0%,22.7%,28.4%
Partner Integration,8.1%,7.2%,6.7%,6.6%,6.5%,6.5%,6.4%,6.5%,6.5%,6.5%,6.6%,6.6%,6.6%,6.7%,6.7%,7.5%,9.1%
Paid Search,20.7%,21.3%,22.4%,23.7%,25.2%,26.5%,27.3%,28.6%,29.6%,30.6%,31.6%,32.5%,33.4%,34.4%,35.2%,44.5%,57.6%
site_emails,32.2%,39.6%,43.2%,46.0%,48.1%,49.9%,51.1%,51.9%,52.9%,54.0%,55.1%,56.0%,57.0%,57.5%,58.0%,66.8%,75.0%
Natural Search,48.2%,48.9%,49.6%,50.8%,52.0%,53.0%,53.7%,54.9%,55.8%,56.6%,57.3%,58.0%,58.7%,59.4%,60.0%,67.1%,74.1%
